merchantID,hour,weekday,driverID,time_variance,row_count,trip_ids,times,date
1470,13,False,542,,1,['08d516058478e7070f328493f7c54cedd181db7a2c3a829b6cb516415c63f781'],[1095.0],[24]
1470,13,False,2464,,1,['647606f6acbd8747de7df2ef260cb2fe87d62980063419c827e1a65f8d9dae67'],[1710.0],[25]
1470,13,True,846,,1,['8fa023006b249ce64db7bc4a2387188d77df17157d1370e4f66b4f257af91f9e'],[612.0],[29]
1470,13,True,2503,,1,['a3470922a72f44187b11c4b37389ff6e3135702cab0889e4a9e2bb6a35cc02aa'],[450.0],[28]
1470,13,True,2901,,1,['dbe8e7e14937eb1938bc874b8e30017ed59c7aebf82123393d260cc437a2a923'],[559.0],[27]
1470,13,True,3011,,1,['d554972e12907cb1823c6e0fa0ac4643ae0bfef1a9a960db04fb580e73913a06'],[1567.0],[30]
1470,14,False,196,,1,['634e9f475888e6c304926006fe410323444a08fde18452dc071729bbe5539a8d'],[467.0],[26]
1470,14,False,368,,1,['11ce6b2663c099ddae899773cff0ad6176f4b46f4c5e89d08cde1263a843ae4e'],[561.0],[25]
1470,14,False,900,,1,['b34fb96da3bbcf1bc4457fccdd69f28c989870ca3efcac891a653fb2dc671316'],[549.0],[25]
1470,14,False,942,,1,['162bbe8c2a37dd362e2f04f358336d9ad75be7d6cf19cea2caa6e5b26a38aa09'],[1876.0],[24]
1470,14,False,1895,,1,['ad406ae75f072e6522c81f926ceb5ae135328875ff2c169a4f0b9e3894fb98cc'],[1531.0],[26]
1470,14,False,2207,,1,['c71c72420649cd6b5a0626c9bbce7683a58f94ced48a090cb0ad25582f3b5345'],[265.0],[25]
1470,14,False,2217,,1,['08767c16c0eb821291bb96493366555f9a2b748f39fc5b168a9360831a23b421'],[711.0],[25]
1470,14,False,2825,,1,['d132a0059a7783565fa2480f7e7c5fd36ae47e7516f5fb94f6feef1a1c500b72'],[517.0],[25]
1470,14,False,3009,,1,['7d91ab9be313cff9664d87ee69dc48bb67fafbb5ad66e9ab7f34d81580666a76'],[605.0],[25]
1470,14,True,110,,1,['cc6a6aa8a6e6494cf5b7489c47426c221f5f6fb76a597fa2736d59203e6001df'],[675.0],[29]
1470,15,False,45,,1,['9ca937e550c65141e3f2446ea9ad073d7981bbc3ae7c9d72c004b3d90c13dbb2'],[588.0],[25]
1470,15,False,1350,,1,['31cd8431d7554a232b14b80ba2eb6ad15f8937464c8ad9678878ca49ba0ad749'],[733.0],[26]
